# groupID, routeName, groupSize, depTime, travelTime, fragSize 
1, RT2, 5.0, 0, 22.675124531735342, 1.059312619216428E-6
1, RT2, 5.0, 0, 21.76811955046593, 3.617044816988659E-6
1, RT2, 5.0, 0, 20.861114569196516, 5.11508359856136E-6
1, RT2, 5.0, 0, 19.954109587927103, 1.8318570998517034E-6
1, RT2, 5.0, 0, 19.04710460665769, 6.254843778212432E-6
1, RT2, 5.0, 0, 18.140099625388274, 2.135710069040575E-5
1, RT2, 5.0, 0, 17.23309464411886, 7.292374493637273E-5
1, RT2, 5.0, 0, 16.326089662849448, 2.4899828678452755E-4
1, RT2, 5.0, 0, 15.419084681580033, 8.502064026762011E-4
1, RT2, 5.0, 0, 14.51207970031062, 0.0029030391846741727
1, RT2, 5.0, 0, 13.605074719041207, 0.009912469099429543
1, RT2, 5.0, 0, 12.698069737771792, 0.03384629475652581
1, RT2, 5.0, 0, 11.79106475650238, 0.11556881884391892
1, RT2, 5.0, 0, 10.884059775232965, 0.16343291269080568
1, RT2, 5.0, 0, 9.977054793963552, 2.906723221787639E-6
1, RT2, 5.0, 0, 9.070049812694137, 9.181650748717756E-6
1, RT2, 5.0, 0, 8.163044831424724, 0.0016409460138764767
1, RT2, 5.0, 0, 7.25603985015531, 7.285944632041655E-5
1, RT2, 5.0, 0, 6.349034868885896, 1.7224256133650852E-4
1, RT2, 5.0, 0, 5.442029887616482, 2.4357879464924088E-4
0, RT1, 5.0, 0, 24.48913449427417, 9.550119906933808E-7
0, RT1, 5.0, 0, 23.58212951300476, 6.521823356443533E-6
0, RT1, 5.0, 0, 22.675124531735342, 8.251816849882159E-7
0, RT1, 5.0, 0, 21.76811955046593, 2.7234954568266045E-6
0, RT1, 5.0, 0, 20.861114569196516, 3.984542670705784E-6
0, RT1, 5.0, 0, 19.954109587927103, 2.2668095807358948E-5
0, RT1, 5.0, 0, 19.04710460665769, 6.189017917665037E-5
0, RT1, 5.0, 0, 18.140099625388274, 1.6522668659998957E-4
0, RT1, 5.0, 0, 17.23309464411886, 4.301968719922994E-4
0, RT1, 5.0, 0, 16.326089662849448, 0.0010914701335528322
0, RT1, 5.0, 0, 15.419084681580033, 0.002684569939451138
0, RT1, 5.0, 0, 14.51207970031062, 0.006358327532151005
0, RT1, 5.0, 0, 13.605074719041207, 0.014374322235515958
0, RT1, 5.0, 0, 12.698069737771792, 0.03066001715169793
0, RT1, 5.0, 0, 11.79106475650238, 0.060659939760729864
0, RT1, 5.0, 0, 10.884059775232965, 0.05348005700067596
0, RT1, 5.0, 0, 9.977054793963552, 0.1631673760986008
0, RT1, 5.0, 0, 9.070049812694137, 0.21442700213283183
0, RT1, 5.0, 0, 8.163044831424724, 0.18232379026748644
0, RT1, 5.0, 0, 7.25603985015531, 5.263884456803763E-4
0, RT1, 5.0, 0, 6.349034868885896, 0.012435288769991565
0, RT1, 5.0, 0, 5.442029887616482, 9.503532164652104E-5
