cellName,startTime,endTime,percentage
C29266038287828230,0,0,0
C29266038287828231,0,0,0
C29266038287828232,0,0,0
C29266038287828233,0,0,0
C2926603818594013860,0,0,0
C2926603818594013861,0,0,0
C2926603818594013862,0,0,0
C2926603818594013863,0,0,0
C2926603818594013864,0,0,0
C2926603818594013865,0,0,0
C29266038292660840,0,0,0
C29266038292660841,0,0,0
C29266038292660842,0,0,0
C29266038292660843,0,0,0
C29266038292660844,0,0,0
C29266038292660845,0,0,0
C29266038292660846,0,0,0
C29266038292660847,0,0,0
C29266038292660848,0,0,0
C29266038292660849,0,0,0
C292660412493609330,0,0,0
C292660412493609331,0,0,0
C292660412493609332,0,0,0
C292660412493609333,0,0,0
C29266041281859440,0,0,0
C29266041281859441,0,0,0
C29266041281859442,0,0,0
C29266041281859443,0,0,0
C2926604120392096320,0,0,0
C2926604120392096321,0,0,0
C29266084287828200,0,0,0
C29266084287828201,0,0,0
C29266084287828202,0,0,0
C29266084287828203,0,0,0
C2926608418352034930,0,0,0
C2926608418352034931,0,0,0
C2878280918594013900,0,0,0
C2878280918594013901,0,0,0
C2878280918594013902,0,0,0
C2878280918594013903,0,0,0
C2878280918594013904,0,0,0
C2878280918594013905,0,0,0
C2878280918594013906,0,0,0
C28782809287828180,0,0,0
C28782809287828181,0,0,0
C28782809287828182,0,0,0
C28782809287828183,0,0,0
C28782809287828184,0,0,0
C28782809287828185,0,0,0
C28782809287828186,0,0,0
C28782809287828187,0,0,0
C28782809287828188,0,0,0
C2878281818352034930,0,0,0
C2878281818352034931,0,0,0
C2878281818352034932,0,0,0
C2878281818352034933,0,0,0
C28782818287828200,0,0,0
C28782818287828201,0,0,0
C28782818287828202,0,0,0
C28782818287828203,0,0,0
C28782818287828204,0,0,0
C28782820287828230,0,0,0
C28782820287828231,0,0,0
C28782820287828232,0,0,0
C28782820287828233,0,0,0
C28782820287828234,0,0,0
C28782820287828235,0,0,0
C28782820287828236,0,0,0
C28782820287828237,0,0,0
C28782820287828238,0,0,0
C28782820287828239,0,0,0
C287828202878282310,0,0,0
C287828202878282311,0,0,0
C24936093318594013860,0,0,0
C24936093318594013861,0,0,0
C229906960818337583670,0,0,0
C229906960818337583671,0,0,0
C229906960818337583672,0,0,0
C2818594418337583680,0,0,0
C2818594414197325870,0,0,0
C141973258718594013790,0,0,0
C141973259018594013630,0,0,0
C141973259018594013631,0,0,0
C141973259018594013632,0,0,0
C141973259018594013633,0,0,0
C141973259018594013634,0,0,0
C141973259018594013635,0,0,0
C141973259018594013636,0,0,0
C141973259018594013637,0,0,0
C141973259018594013638,0,0,0
C141973259018594013639,0,0,0
C141973259014197325940,0,0,0
C141973259014197325941,0,0,0
C141973259014197325942,0,0,0
C141973259014197325943,0,0,0
C141973259014197325944,0,0,0
C141973259014197325945,0,0,0
C141973259018594013790,0,0,0
C141973259018594013791,0,0,0
C141973259018594013792,0,0,0
C141973259018594013793,0,0,0
C141973259018594013794,0,0,0
C141973259018594013795,0,0,0
C141973259418594013710,0,0,0
C141973259418594013711,0,0,0
C141973259418594013712,0,0,0
C141973259418594013713,0,0,0
C141973259418594013714,0,0,0
C141973259418594013715,0,0,0
C141973259418594013716,0,0,0
C141973259418594013717,0,0,0
C141973259418594013718,0,0,0
C141973259418594013719,0,0,0
C1419732594185940137110,0,0,0
C141973259414197325970,0,0,0
C141973259414197325971,0,0,0
C141973259414197325972,0,0,0
C141973259414197325973,0,0,0
C141973259414197325974,0,0,0
C141973259414197325975,0,0,0
C141973259718594013900,0,0,0
C141973259718594013901,0,0,0
C141973259718594013902,0,0,0
C141973259718594013903,0,0,0
C141973259718594013904,0,0,0
C141973259718594013905,0,0,0
C141973259718594013906,0,0,0
C141973259718594013907,0,0,0
C141973259718594013908,0,0,0
C141973259718594013909,0,0,0
C1419732597185940139010,0,0,0
C1419732597185940139011,0,0,0
C185940136318352034930,0,0,0
C185940136318352034931,0,0,0
C185940136318352034932,0,0,0
C185940136318352034933,0,0,0
C185940136318352034934,0,0,0
C185940136318352034935,0,0,0
C185940136318594013840,0,0,0
C185940136318594013841,0,0,0
C185940136318594013842,0,0,0
C185940136318594013843,0,0,0
C185940136318594013844,0,0,0
C185940136318594013845,0,0,0
C185940136318594013710,0,0,0
C185940136318594013711,0,0,0
C185940136318594013712,0,0,0
C185940136318594013713,0,0,0
C185940136318594013714,0,0,0
C185940136318594013715,0,0,0
C185940137118594013900,0,0,0
C185940137118594013901,0,0,0
C185940137118594013902,0,0,0
C185940137118594013903,0,0,0
C185940137118594013904,0,0,0
C185940137118594013905,0,0,0
C185940137918594013840,0,0,0
C185940137918594013841,0,0,0
C185940137918594013842,0,0,0
C185940137918594013843,0,0,0
C185940137918594013844,0,0,0
C185940137918594013845,0,0,0
C185940137918594013846,0,0,0
C185940137918594013847,0,0,0
C185940138418594013860,0,0,0
C185940138418594013861,0,0,0
C185940138418594013862,0,0,0
C185940138418594013863,0,0,0
C185940138418594013864,0,0,0
C185940138418594013865,0,0,0
C2818714518337583560,0,0,0
C2818714518337583561,0,0,0
C2818714518337583562,0,0,0
C183375835618337583670,0,0,0
C183375835618337583610,0,0,0
C183375836118337583670,0,0,0
C183375836118337583680,0,0,0
C183375836118337583681,0,0,0
C183375836118337583682,0,0,0
