cellName,origCellName,destCellName,length,streamOrig,streamDest,boolean bi-directional
C39265813418516152102,C39265813418516152100,C39265813418516152104,1.5,W,E,true
C39265813418516152103,C39265813418516152101,C39265813418516152105,1.5,W,E,true
C39265813418516152104,C39265813418516152102,C39265813418516152106,1.5,W,E,true
C39265813418516152105,C39265813418516152103,C39265813418516152107,1.5,W,E,true
C39265813418516152106,C39265813418516152104,C39265813418516152108,1.5,W,E,true
C39265813418516152107,C39265813418516152105,C39265813418516152109,1.5,W,E,true
C39265813418516152108,C39265813418516152106,C392658134185161521010,1.5,W,E,true
C39265813418516152109,C39265813418516152107,C392658134185161521011,1.5,W,E,true
C392658134185161521010,C39265813418516152108,C392658134185161521012,1.5,W,E,true
C392658134185161521011,C39265813418516152109,C392658134185161521013,1.5,W,E,true
C392658134185161521012,C392658134185161521010,C392658134185161521014,1.5,W,E,true
C392658134185161521013,C392658134185161521011,C392658134185161521015,1.5,W,E,true
C392658134185161521014,C392658134185161521012,C392658134185161521016,1.5,W,E,true
C392658134185161521015,C392658134185161521013,C392658134185161521017,1.5,W,E,true
C392658134185161521016,C392658134185161521014,C392658134185161521018,1.5,W,E,true
C392658134185161521017,C392658134185161521015,C392658134185161521019,1.5,W,E,true
C392658134185161521018,C392658134185161521016,C392658134185161521020,1.5,W,E,true
C392658134185161521019,C392658134185161521017,C392658134185161521021,1.5,W,E,true
C392658134185161521020,C392658134185161521018,C392658134185161521022,1.5,W,E,true
C392658134185161521021,C392658134185161521019,C392658134185161521023,1.5,W,E,true
C392658134185161521022,C392658134185161521020,C392658134185161521024,1.5,W,E,true
C392658134185161521023,C392658134185161521021,C392658134185161521025,1.5,W,E,true
C392658134185161521024,C392658134185161521022,C392658134185161521026,1.5,W,E,true
C392658134185161521025,C392658134185161521023,C392658134185161521027,1.5,W,E,true
C392658134185161521026,C392658134185161521024,C392658134185161521028,1.5,W,E,true
C392658134185161521027,C392658134185161521025,C392658134185161521029,1.5,W,E,true
C392658134185161521028,C392658134185161521026,C392658134185161521030,1.5,W,E,true
C392658134185161521029,C392658134185161521027,C392658134185161521031,1.5,W,E,true
C392658134185161521030,C392658134185161521028,C392658134185161521032,1.5,W,E,true
C392658134185161521031,C392658134185161521029,C392658134185161521033,1.5,W,E,true
C392658134185161521032,C392658134185161521030,C392658134185161521034,1.5,W,E,true
C392658134185161521033,C392658134185161521031,C392658134185161521035,1.5,W,E,true
C392658134185161521034,C392658134185161521032,C392658134185161521036,1.5,W,E,true
C392658134185161521035,C392658134185161521033,C392658134185161521037,1.5,W,E,true
C392658134185161521036,C392658134185161521034,C392658134185161521038,1.5,W,E,true
C392658134185161521037,C392658134185161521035,C392658134185161521039,1.5,W,E,true
C392658134185161521038,C392658134185161521036,C392658134185161521040,1.5,W,E,true
C392658134185161521039,C392658134185161521037,C392658134185161521041,1.5,W,E,true
C392658134185161521040,C392658134185161521038,C392658134185161521042,1.5,W,E,true
C392658134185161521041,C392658134185161521039,C392658134185161521043,1.5,W,E,true
C392658134185161521042,C392658134185161521040,C392658134185161521044,1.5,W,E,true
C392658134185161521043,C392658134185161521041,C392658134185161521045,1.5,W,E,true
C392658134185161521044,C392658134185161521042,C392658134185161521046,1.5,W,E,true
C392658134185161521045,C392658134185161521043,C392658134185161521047,1.5,W,E,true
C392658134185161521046,C392658134185161521044,C392658134185161521048,1.5,W,E,true
C392658134185161521047,C392658134185161521045,C392658134185161521049,1.5,W,E,true
C392658134185161521048,C392658134185161521046,C392658134185161521050,1.5,W,E,true
C392658134185161521049,C392658134185161521047,C392658134185161521051,1.5,W,E,true
C392658134185161521050,C392658134185161521048,C392658134185161521052,1.5,W,E,true
