cellName,origCellName,destCellName,length,streamOrig,streamDest,boolean bi-directional
C29266038287828232,C29266038287828230,C29266038287828234,1.5,W,E,true
C29266038287828233,C29266038287828231,C29266038287828235,1.5,W,E,true
C29266038287828234,C29266038287828232,C29266038287828236,1.5,W,E,true
C29266038287828235,C29266038287828233,C29266038287828237,1.5,W,E,true
C29266038287828233,C29266038287828231,C29266038287828232,1.0607,W,S,true
C29266038287828235,C29266038287828233,C29266038287828234,1.0607,W,S,true
C29266038287828237,C29266038287828235,C29266038287828236,1.0607,W,S,true
C29266038287828232,C29266038287828230,C29266038287828233,1.0607,W,N,true
C29266038287828234,C29266038287828232,C29266038287828235,1.0607,W,N,true
C29266038287828236,C29266038287828234,C29266038287828237,1.0607,W,N,true
C29266038287828231,C29266038287828230,C29266038287828232,1.0607,W,N,true
C29266038287828233,C29266038287828232,C29266038287828234,1.0607,W,N,true
C29266038287828235,C29266038287828234,C29266038287828236,1.0607,W,N,true
C29266038287828230,C29266038287828231,C29266038287828233,1.0607,W,S,true
C29266038287828232,C29266038287828233,C29266038287828235,1.0607,W,S,true
C29266038287828234,C29266038287828235,C29266038287828237,1.0607,W,S,true
C2926603818594013862,C2926603818594013860,C2926603818594013864,1.5,W,E,true
C2926603818594013863,C2926603818594013861,C2926603818594013865,1.5,W,E,true
C2926603818594013864,C2926603818594013862,C2926603818594013866,1.5,W,E,true
C2926603818594013865,C2926603818594013863,C2926603818594013867,1.5,W,E,true
C2926603818594013866,C2926603818594013864,C2926603818594013868,1.5,W,E,true
C2926603818594013867,C2926603818594013865,C2926603818594013869,1.5,W,E,true
C2926603818594013863,C2926603818594013861,C2926603818594013862,1.0607,W,S,true
C2926603818594013865,C2926603818594013863,C2926603818594013864,1.0607,W,S,true
C2926603818594013867,C2926603818594013865,C2926603818594013866,1.0607,W,S,true
C2926603818594013869,C2926603818594013867,C2926603818594013868,1.0607,W,S,true
C2926603818594013862,C2926603818594013860,C2926603818594013863,1.0607,W,N,true
C2926603818594013864,C2926603818594013862,C2926603818594013865,1.0607,W,N,true
C2926603818594013866,C2926603818594013864,C2926603818594013867,1.0607,W,N,true
C2926603818594013868,C2926603818594013866,C2926603818594013869,1.0607,W,N,true
C2926603818594013861,C2926603818594013860,C2926603818594013862,1.0607,W,N,true
C2926603818594013863,C2926603818594013862,C2926603818594013864,1.0607,W,N,true
C2926603818594013865,C2926603818594013864,C2926603818594013866,1.0607,W,N,true
C2926603818594013867,C2926603818594013866,C2926603818594013868,1.0607,W,N,true
C2926603818594013860,C2926603818594013861,C2926603818594013863,1.0607,W,S,true
C2926603818594013862,C2926603818594013863,C2926603818594013865,1.0607,W,S,true
C2926603818594013864,C2926603818594013865,C2926603818594013867,1.0607,W,S,true
C2926603818594013866,C2926603818594013867,C2926603818594013869,1.0607,W,S,true
C24936093318594013862,C24936093318594013860,C24936093318594013864,1.5,W,E,true
C24936093318594013863,C24936093318594013861,C24936093318594013862,1.0607,W,S,true
C24936093318594013862,C24936093318594013860,C24936093318594013863,1.0607,W,N,true
C24936093318594013861,C24936093318594013860,C24936093318594013862,1.0607,W,N,true
C24936093318594013860,C24936093318594013861,C24936093318594013863,1.0607,W,S,true
C292660412493609332,C292660412493609330,C292660412493609334,1.5,W,E,true
C292660412493609333,C292660412493609331,C292660412493609335,1.5,W,E,true
C292660412493609334,C292660412493609332,C292660412493609336,1.5,W,E,true
C292660412493609333,C292660412493609331,C292660412493609332,1.0607,W,S,true
C292660412493609335,C292660412493609333,C292660412493609334,1.0607,W,S,true
C292660412493609332,C292660412493609330,C292660412493609333,1.0607,W,N,true
C292660412493609334,C292660412493609332,C292660412493609335,1.0607,W,N,true
C292660412493609331,C292660412493609330,C292660412493609332,1.0607,W,N,true
C292660412493609333,C292660412493609332,C292660412493609334,1.0607,W,N,true
C292660412493609330,C292660412493609331,C292660412493609333,1.0607,W,S,true
C292660412493609332,C292660412493609333,C292660412493609335,1.0607,W,S,true
C29266041281859442,C29266041281859440,C29266041281859444,1.5,W,E,true
C29266041281859443,C29266041281859441,C29266041281859445,1.5,W,E,true
C29266041281859444,C29266041281859442,C29266041281859446,1.5,W,E,true
C29266041281859443,C29266041281859441,C29266041281859442,1.0607,W,S,true
C29266041281859445,C29266041281859443,C29266041281859444,1.0607,W,S,true
C29266041281859442,C29266041281859440,C29266041281859443,1.0607,W,N,true
C29266041281859444,C29266041281859442,C29266041281859445,1.0607,W,N,true
C29266041281859441,C29266041281859440,C29266041281859442,1.0607,W,N,true
C29266041281859443,C29266041281859442,C29266041281859444,1.0607,W,N,true
C29266041281859440,C29266041281859441,C29266041281859443,1.0607,W,S,true
C29266041281859442,C29266041281859443,C29266041281859445,1.0607,W,S,true
