cellName,startTime,endTime,percentage
C2926608418352034930,0,0,0
C2926608418352034931,0,0,0
C2926608418352034932,0,0,0
C2926608418352034933,0,0,0
C185940136318352034930,0,0,0
C185940136318352034931,0,0,0
C185940136318352034932,0,0,0
C185940136318352034933,0,0,0
C185940136318352034934,0,0,0
C185940136318352034935,0,0,0
C185940136318352034936,0,0,0
C185940136318352034937,0,0,0
C185940136318352034938,0,0,0
C185940136318352034939,0,0,0
C185940136318594013840,0,0,0
C185940136318594013841,0,0,0
C185940136318594013842,0,0,0
C185940136318594013843,0,0,0
C185940136318594013844,0,0,0
C185940136318594013845,0,0,0
C185940136318594013846,0,0,0
C185940136318594013847,0,0,0
C185940136318594013848,0,0,0
C185940136318594013849,0,0,0
C185940136318594013710,0,0,0
C185940136318594013711,0,0,0
C185940136318594013712,0,0,0
C185940136318594013713,0,0,0
C185940136318594013714,0,0,0
C185940136318594013715,0,0,0
C185940136318594013716,0,0,0
C185940136318594013717,0,0,0
C185940136318594013718,0,0,0
C185940136318594013719,0,0,0
