# timeInterval, linkID, cellName, groupID, groupSizeOnLink 
0, 10, C2, 1, 1.0014337667119437
0, 10, C2, 0, 1.0014337667119437
0, 4, C1, 1, 0.162644624780049
0, 4, C1, 0, 0.162644624780049
0, 0, C1, 1, 3.8359216085080075
0, 0, C1, 0, 3.8359216085080075
1, 28, C4, 1, 0.3310148904548034
1, 28, C4, 0, 0.3310148904548034
1, 22, C4, 1, 0.3310148904548034
1, 22, C4, 0, 0.3310148904548034
1, 20, C4, 1, 0.3310148904548034
1, 20, C4, 0, 0.3310148904548034
1, 16, C3, 1, 0.03831267366571299
1, 16, C3, 0, 0.03831267366571299
1, 14, C3, 1, 0.03831267366571299
1, 14, C3, 0, 0.03831267366571299
1, 11, C2, 1, 1.0481820580346292E-7
1, 11, C2, 0, 1.0481820580346292E-7
1, 10, C2, 1, 0.9586759436944169
1, 10, C2, 0, 0.9586759436944169
1, 5, C1, 1, 1.2131979040749354E-8
1, 5, C1, 0, 1.2131979040749354E-8
1, 4, C1, 1, 0.4656877166366777
1, 4, C1, 0, 0.4656877166366777
1, 0, C1, 1, 2.5059662040228847
1, 0, C1, 0, 2.5059662040228847
2, 207, C14, 1, 0.1641842509635906
2, 203, C14, 1, 0.1641842509635906
2, 38, C6, 0, 0.11610015431592188
2, 36, C6, 0, 0.11610015431592188
2, 32, C5, 0, 0.013546081882680371
2, 30, C5, 0, 0.013546081882680371
2, 29, C4, 1, 5.229087038656728E-8
2, 29, C4, 0, 5.927549816831768E-4
2, 28, C4, 1, 0.9550469372469433
2, 28, C4, 0, 0.0026463361301746757
2, 27, C4, 1, 1.0657723477749402E-10
2, 27, C4, 0, 0.3277757993429456
2, 26, C4, 1, 0.3666811112064579
2, 25, C4, 1, 4.7229917451047966E-4
2, 25, C4, 0, 4.1674214385836526E-8
2, 24, C4, 0, 0.1833406138651932
2, 23, C4, 1, 1.0458172415301884E-7
2, 23, C4, 0, 1.0657725170836441E-10
2, 22, C4, 1, 0.0026463367484084706
2, 22, C4, 0, 0.0026466779947729954
2, 21, C4, 1, 0.23172805120691198
2, 21, C4, 0, 7.536431376097858E-11
2, 20, C4, 1, 0.09881454007338096
2, 20, C4, 0, 1.0512147999438834
2, 19, C3, 1, 0.027092158913402466
2, 19, C3, 0, 4.8623735583571024E-9
2, 18, C3, 0, 0.1833406138651932
2, 17, C3, 1, 9.72474537510109E-9
2, 17, C3, 0, 1.0413542552096792E-11
2, 16, C3, 1, 0.011220617389087957
2, 16, C3, 0, 0.3242983582650696
2, 15, C3, 0, 1.4094299005041574E-10
2, 14, C3, 1, 0.3130278597792461
2, 14, C3, 0, 1.1237946798739033E-7
2, 11, C2, 1, 9.873768865062751E-14
2, 10, C2, 1, 1.6910156190789227
2, 10, C2, 0, 0.7775801364123743
2, 5, C1, 1, 4.999347620364932E-5
2, 4, C1, 1, 0.15260975225225965
2, 4, C1, 0, 1.0660451740381323
2, 0, C1, 1, 0.8212260379590339
2, 0, C1, 0, 0.8212260379590341
3, 207, C14, 1, 0.5658719466530051
3, 206, C14, 1, 1.9644673443296357E-8
3, 205, C14, 1, 0.054728077106305464
3, 204, C14, 1, 0.038700047591105464
3, 203, C14, 1, 0.6139560409518758
3, 202, C14, 1, 1.3891403414202962E-8
3, 200, C13, 1, 0.054728077106305464
3, 199, C13, 1, 0.054728077106305464
3, 193, C18, 1, 0.038700047591105464
3, 191, C18, 1, 0.038700047591105464
3, 50, C8, 0, 0.04104913717788265
3, 48, C8, 0, 0.04104913717788265
3, 44, C7, 0, 0.004789442156225632
