# timeInterval, linkID, cellName, groupID, groupSizeOnLink 
0, 10, C2, 1, 1.0014337667119437
0, 10, C2, 0, 1.0014337667119437
0, 4, C1, 1, 0.162644624780049
0, 4, C1, 0, 0.162644624780049
0, 0, C1, 1, 3.8359216085080075
0, 0, C1, 0, 3.8359216085080075
1, 28, C4, 1, 0.3310148904548034
1, 28, C4, 0, 0.3310148904548034
1, 22, C4, 1, 0.3310148904548034
1, 22, C4, 0, 0.3310148904548034
1, 20, C4, 1, 0.3310148904548034
1, 20, C4, 0, 0.3310148904548034
1, 14, C3, 1, 0.03831267366571299
1, 14, C3, 0, 0.03831267366571299
1, 11, C2, 1, 1.0481820580346292E-7
1, 11, C2, 0, 1.0481820580346292E-7
1, 10, C2, 1, 0.9586759436944169
1, 10, C2, 0, 0.9586759436944169
1, 5, C1, 1, 1.2131979040749354E-8
1, 5, C1, 0, 1.2131979040749354E-8
1, 4, C1, 1, 0.5040003903023906
1, 4, C1, 0, 0.5040003903023906
1, 0, C1, 1, 2.5059662040228847
1, 0, C1, 0, 2.5059662040228847
2, 207, C14, 1, 0.1641842509635906
2, 203, C14, 1, 0.1641842509635906
2, 36, C6, 0, 0.11610015431592188
2, 29, C4, 1, 5.229087038656728E-8
2, 29, C4, 0, 5.927549816831768E-4
2, 28, C4, 1, 0.9550469372469433
2, 28, C4, 0, 0.0026463361301746757
2, 27, C4, 1, 1.0657723477749402E-10
2, 27, C4, 0, 0.3277757993429456
2, 26, C4, 1, 0.3666811112064579
2, 25, C4, 1, 4.7229917451047966E-4
2, 25, C4, 0, 4.1674214385836526E-8
2, 24, C4, 0, 0.1833406138651932
2, 23, C4, 1, 1.0458172415301884E-7
2, 23, C4, 0, 1.1901224102483336E-10
2, 22, C4, 1, 0.0026463367484084706
2, 22, C4, 0, 0.1668309550406904
2, 21, C4, 1, 0.23172805120691198
2, 21, C4, 0, 7.536431376097858E-11
2, 20, C4, 1, 0.09881454007338096
2, 20, C4, 0, 1.1673149542598054
2, 15, C3, 0, 1.4094299005041574E-10
2, 14, C3, 1, 0.3348167294163912
2, 14, C3, 0, 0.019156457021119653
2, 11, C2, 1, 9.873768865062751E-14
2, 10, C2, 1, 1.6713013700135422
2, 10, C2, 0, 0.7685545940010735
2, 5, C1, 1, 5.347336242360824E-5
2, 4, C1, 1, 0.16913018874170746
2, 4, C1, 0, 1.4067469865022177
2, 0, C1, 1, 0.840940286943396
2, 0, C1, 0, 0.840940286943396
3, 207, C14, 1, 0.5528076111491476
3, 206, C14, 1, 1.9644673443296357E-8
3, 205, C14, 1, 0.054728077106305464
3, 204, C14, 1, 0.038700047591105464
3, 203, C14, 1, 0.6008917054480183
3, 202, C14, 1, 1.3891403414202962E-8
3, 200, C13, 1, 0.054728077106305464
3, 199, C13, 1, 0.054728077106305464
3, 193, C18, 1, 0.038700047591105464
3, 191, C18, 1, 0.038700047591105464
3, 48, C8, 0, 0.02736609309961934
3, 37, C6, 0, 9.823074202235543E-9
3, 36, C6, 0, 0.5479677359128492
3, 29, C4, 1, 1.6552260610229544E-14
3, 29, C4, 0, 5.307167651874282E-5
3, 28, C4, 1, 1.868303979313209
3, 28, C4, 0, 2.3693598414637019E-4
3, 27, C4, 0, 0.33018512341350165
3, 26, C4, 1, 0.46826016938865894
3, 25, C4, 1, 1.1664661790555633E-4
3, 25, C4, 0, 1.6484218418672902E-7
3, 24, C4, 0, 0.09987799985442232
3, 23, C4, 1, 2.00982239566435E-10
3, 23, C4, 0, 5.1216198458241615E-15
