# groupID, routeName, groupSize, depTime, travelTime, fragSize 
1, RT2, 10.0, 1, 38.1197673040032, 1.0260264043573163E-6
1, RT2, 10.0, 1, 37.30870842519462, 2.846122618500835E-6
1, RT2, 10.0, 1, 36.497649546386036, 7.3154762832616215E-6
1, RT2, 10.0, 1, 35.68659066757746, 1.919335002303522E-5
1, RT2, 10.0, 1, 34.87553178876888, 4.6146771074115116E-5
1, RT2, 10.0, 1, 34.0644729099603, 1.0439499895245095E-4
1, RT2, 10.0, 1, 33.25341403115172, 2.305171213779497E-4
1, RT2, 10.0, 1, 32.44235515234315, 4.8571098163841604E-4
1, RT2, 10.0, 1, 31.631296273534566, 9.7862129031848E-4
1, RT2, 10.0, 1, 30.82023739472599, 0.0018648809680046057
1, RT2, 10.0, 1, 30.00917851591741, 0.0033068038411269655
1, RT2, 10.0, 1, 29.19811963710883, 0.005329490794858705
1, RT2, 10.0, 1, 28.38706075830025, 0.007549442519596689
1, RT2, 10.0, 1, 27.576001879491674, 0.009096837543152365
1, RT2, 10.0, 1, 26.764943000683093, 0.009563420657946083
1, RT2, 10.0, 1, 25.953884121874516, 0.00962881270312267
1, RT2, 10.0, 1, 25.14282524306594, 0.009772137871930741
1, RT2, 10.0, 1, 24.33176636425736, 0.010043140227146004
1, RT2, 10.0, 1, 23.52070748544878, 0.010494319817774385
1, RT2, 10.0, 1, 22.7096486066402, 0.011207543180547399
1, RT2, 10.0, 1, 21.898589727831624, 0.012352451360070921
1, RT2, 10.0, 1, 21.087530849023043, 0.014107804796242457
1, RT2, 10.0, 1, 20.276471970214466, 0.016753897634868103
1, RT2, 10.0, 1, 19.465413091405885, 0.020338368468936305
1, RT2, 10.0, 1, 18.65435421259731, 0.024481529178912425
1, RT2, 10.0, 1, 17.84329533378873, 0.028574998191886414
1, RT2, 10.0, 1, 17.03223645498015, 0.03181938174516914
1, RT2, 10.0, 1, 16.221177576171574, 0.033457225165679484
1, RT2, 10.0, 1, 15.410118697362995, 0.03334763717375012
1, RT2, 10.0, 1, 14.599059818554416, 0.03200337150122308
1, RT2, 10.0, 1, 13.788000939745837, 0.03018401181461803
1, RT2, 10.0, 1, 12.976942060937258, 0.02800690783270871
1, RT2, 10.0, 1, 12.16588318212868, 0.02501183807916518
1, RT2, 10.0, 1, 11.3548243033201, 0.021049331980701875
1, RT2, 10.0, 1, 10.543765424511522, 0.016403308059664605
1, RT2, 10.0, 1, 9.732706545702943, 0.012052064687741391
1, RT2, 10.0, 1, 8.921647666894366, 0.009179541959606343
1, RT2, 10.0, 1, 8.110588788085787, 0.0078076857827383125
1, RT2, 10.0, 1, 7.299529909277208, 0.006330163143824739
1, RT2, 10.0, 1, 6.488471030468629, 0.004308445708814735
1, RT2, 10.0, 1, 5.67741215166005, 0.0018573948904460104
1, RT2, 10.0, 1, 4.866353272851471, 0.03612828222822573
0, RT1, 10.0, 1, 33.25341403115172, 9.449771829385303E-7
0, RT1, 10.0, 1, 32.44235515234315, 2.473859733260394E-6
0, RT1, 10.0, 1, 31.631296273534566, 9.144546008404543E-6
0, RT1, 10.0, 1, 30.82023739472599, 2.8835041381335513E-5
0, RT1, 10.0, 1, 30.00917851591741, 7.465055981632304E-5
0, RT1, 10.0, 1, 29.19811963710883, 1.895084687881294E-4
0, RT1, 10.0, 1, 28.38706075830025, 4.60883803748709E-4
0, RT1, 10.0, 1, 27.576001879491674, 0.0010965741472666872
0, RT1, 10.0, 1, 26.764943000683093, 0.002549185895902688
0, RT1, 10.0, 1, 25.953884121874516, 0.005778275624503227
0, RT1, 10.0, 1, 25.14282524306594, 0.012651480146148213
0, RT1, 10.0, 1, 24.33176636425736, 0.026190389589808398
0, RT1, 10.0, 1, 23.52070748544878, 0.04908014957889743
0, RT1, 10.0, 1, 22.7096486066402, 0.08040563442750642
0, RT1, 10.0, 1, 21.898589727831624, 0.12619334171903193
0, RT1, 10.0, 1, 21.087530849023043, 0.2138219318141186
0, RT1, 10.0, 1, 20.276471970214466, 0.31811692078350257
0, RT1, 10.0, 1, 19.465413091405885, 0.3906371629737235
0, RT1, 10.0, 1, 18.65435421259731, 0.3620600599082546
0, RT1, 10.0, 1, 17.84329533378873, 0.28350965035323433
0, RT1, 10.0, 1, 17.03223645498015, 0.2016765958731293
0, RT1, 10.0, 1, 16.221177576171574, 0.14028857180509677
0, RT1, 10.0, 1, 15.410118697362995, 0.10629203624938108
0, RT1, 10.0, 1, 14.599059818554416, 0.12195240732493617
0, RT1, 10.0, 1, 13.788000939745837, 0.15179390878010912
0, RT1, 10.0, 1, 12.976942060937258, 0.1608565329055694
0, RT1, 10.0, 1, 12.16588318212868, 0.12556963461638038
0, RT1, 10.0, 1, 11.3548243033201, 0.10440017970513853
0, RT1, 10.0, 1, 10.543765424511522, 0.10197187517199709
0, RT1, 10.0, 1, 9.732706545702943, 0.09253403607481102
0, RT1, 10.0, 1, 8.921647666894366, 0.05759477518791504
0, RT1, 10.0, 1, 8.110588788085787, 0.0140907511610865
0, RT1, 10.0, 1, 7.299529909277208, 0.005985684116792437
0, RT1, 10.0, 1, 6.488471030468629, 0.0015199178231440989
0, RT1, 10.0, 1, 5.67741215166005, 0.11626266632036382
0, RT1, 10.0, 1, 4.866353272851471, 0.053261159742761084
