# groupID, routeName, groupSize, depTime, travelTime, fragSize 
1, RT2, 10.0, 1, 36.497649546386036, 1.3247419301969121E-6
1, RT2, 10.0, 1, 35.68659066757746, 3.5887632381083695E-6
1, RT2, 10.0, 1, 34.87553178876888, 9.161684266674524E-6
1, RT2, 10.0, 1, 34.0644729099603, 2.393377432406531E-5
1, RT2, 10.0, 1, 33.25341403115172, 5.706801154652556E-5
1, RT2, 10.0, 1, 32.44235515234315, 1.2892784455968638E-4
1, RT2, 10.0, 1, 31.631296273534566, 2.812222942512193E-4
1, RT2, 10.0, 1, 30.82023739472599, 5.873635370794448E-4
1, RT2, 10.0, 1, 30.00917851591741, 0.0011721479621708457
1, RT2, 10.0, 1, 29.19811963710883, 0.0022078473987974375
1, RT2, 10.0, 1, 28.38706075830025, 0.0038590679308250575
1, RT2, 10.0, 1, 27.576001879491674, 0.006109182949863929
1, RT2, 10.0, 1, 26.764943000683093, 0.00846784248681126
1, RT2, 10.0, 1, 25.953884121874516, 0.010006700990152932
1, RT2, 10.0, 1, 25.14282524306594, 0.01050077578852059
1, RT2, 10.0, 1, 24.33176636425736, 0.010750332698706015
1, RT2, 10.0, 1, 23.52070748544878, 0.011238536425603603
1, RT2, 10.0, 1, 22.7096486066402, 0.012136360316133745
1, RT2, 10.0, 1, 21.898589727831624, 0.013668864020665215
1, RT2, 10.0, 1, 21.087530849023043, 0.015991386460992952
1, RT2, 10.0, 1, 20.276471970214466, 0.019032925435248302
1, RT2, 10.0, 1, 19.465413091405885, 0.022602952063373077
1, RT2, 10.0, 1, 18.65435421259731, 0.026521346607475706
1, RT2, 10.0, 1, 17.84329533378873, 0.030491288288866047
1, RT2, 10.0, 1, 17.03223645498015, 0.03386337420610649
1, RT2, 10.0, 1, 16.221177576171574, 0.03579826673286785
1, RT2, 10.0, 1, 15.410118697362995, 0.03584866320862824
1, RT2, 10.0, 1, 14.599059818554416, 0.03433785387509588
1, RT2, 10.0, 1, 13.788000939745837, 0.03196337220100281
1, RT2, 10.0, 1, 12.976942060937258, 0.02917343921645937
1, RT2, 10.0, 1, 12.16588318212868, 0.025980739148658567
1, RT2, 10.0, 1, 11.3548243033201, 0.02213689334293286
1, RT2, 10.0, 1, 10.543765424511522, 0.017606245293614348
1, RT2, 10.0, 1, 9.732706545702943, 0.013188813367111396
1, RT2, 10.0, 1, 8.921647666894366, 0.010138674238590288
1, RT2, 10.0, 1, 8.110588788085787, 0.008521511368804253
1, RT2, 10.0, 1, 7.299529909277208, 0.00683936202308683
1, RT2, 10.0, 1, 6.488471030468629, 0.004655037595471854
1, RT2, 10.0, 1, 5.67741215166005, 0.002013972727320392
1, RT2, 10.0, 1, 4.866353272851471, 0.03917348296555345
0, RT1, 10.0, 1, 32.44235515234315, 2.3687520968814186E-6
0, RT1, 10.0, 1, 31.631296273534566, 2.2668969612563847E-6
0, RT1, 10.0, 1, 30.82023739472599, 8.209535024142747E-6
0, RT1, 10.0, 1, 30.00917851591741, 2.565015682337314E-5
0, RT1, 10.0, 1, 29.19811963710883, 6.834213324036163E-5
0, RT1, 10.0, 1, 28.38706075830025, 1.691008592056086E-4
0, RT1, 10.0, 1, 27.576001879491674, 4.0408947721960904E-4
0, RT1, 10.0, 1, 26.764943000683093, 9.391157518468033E-4
0, RT1, 10.0, 1, 25.953884121874516, 0.002122746697689734
0, RT1, 10.0, 1, 25.14282524306594, 0.00464203391735673
0, RT1, 10.0, 1, 24.33176636425736, 0.009719688968200605
0, RT1, 10.0, 1, 23.52070748544878, 0.019216882812642968
0, RT1, 10.0, 1, 22.7096486066402, 0.03517405313949015
0, RT1, 10.0, 1, 21.898589727831624, 0.057988408192777216
0, RT1, 10.0, 1, 21.087530849023043, 0.08251735430617099
0, RT1, 10.0, 1, 20.276471970214466, 0.09497984108579441
0, RT1, 10.0, 1, 19.465413091405885, 0.08583782195902973
0, RT1, 10.0, 1, 18.65435421259731, 0.0659410756651713
0, RT1, 10.0, 1, 17.84329533378873, 0.04749127318459473
0, RT1, 10.0, 1, 17.03223645498015, 0.03489092955136422
0, RT1, 10.0, 1, 16.221177576171574, 0.028187993663736356
0, RT1, 10.0, 1, 15.410118697362995, 0.02498741070840281
0, RT1, 10.0, 1, 14.599059818554416, 0.022279682917167448
0, RT1, 10.0, 1, 13.788000939745837, 0.018529473265819073
0, RT1, 10.0, 1, 12.976942060937258, 0.014448927015407583
0, RT1, 10.0, 1, 12.16588318212868, 0.011600604326980225
0, RT1, 10.0, 1, 11.3548243033201, 0.011000603566417985
0, RT1, 10.0, 1, 10.543765424511522, 0.012169782006242557
0, RT1, 10.0, 1, 9.732706545702943, 0.013127559163182862
0, RT1, 10.0, 1, 8.921647666894366, 0.012116677617106367
0, RT1, 10.0, 1, 8.110588788085787, 0.009054574355320014
0, RT1, 10.0, 1, 7.299529909277208, 0.004947097958941108
0, RT1, 10.0, 1, 6.488471030468629, 0.0014723195455956903
0, RT1, 10.0, 1, 5.67741215166005, 0.18729585765266388
0, RT1, 10.0, 1, 4.866353272851471, 0.05546908047415181
